"Timeline: 13 distinct 3 years phases: location, language, focus ",," ""Starfish"" across the global grid.",,,
Rank,Age Range,The Event ,Logic,Phase / Location,Language
1 (A),0–3,The Origin,"Born into the ""Silver"" land.",Buenos Aires,Spanish
2,3–6,The Kambio,"First change, at an early age",Israel,Hebrew
3,6–9,The Return,ack to Argentina,Buenos Aires,Spanish
4,9–12,Math,"Olympiads and riddles become a source of fun.
Start working on the rubbicks cube",Argentina,Logic
5,12–15,Bar-Mitzvah,"Rejection of the state of judaism. The teachers are ignorant.
They Follow blindly without undersanting. The FEAR god (haredim) but cant understand it",The Escape,Ancient Hebrew
6,15–18,Naale,Left home at 15 to finish highschool in israel,Negev,Hebrew
7,18–21,A phycisist,Talpiot program,Jerusalem,Command
8,21–24,An officer,First posting in UAV - Meteor program,RamatGan,Matlab
9,24–27,A programmer,Change of posting to actually develop SW instead of using matlab to simulate physiscal stuff,Tel Aviv,Java
10,27–30,A Dancer,Here i start exploring the beauty of dance to electronic music and begin exploring what one day will become this book. Its all about the 145 BPM,Sheva Shikmim,Music
11 (J),30–33,El Fisico,"Back to argentina, his training becomes his alter ego.",The Nomad,Dance
12 (Q),33–36,A Nomad,"Unsure where to set anchor, I roam ""aimlessly"" between argentina and israel.
Having both homes, and no home truly",KPG,Cpp
13 (K),36–39,Musical Prophet,Decides to write this book: ONE (liberation),The Nomad,Mastery
